F1	#edp_depmorp_포승읍-@-NNG
F8078	#edp_depmorp_홈경기장-@-NNG
F2094	#edp_dependency_멜리시스-@-NNG--매각하-@-VV
F6134	습격-@-NNG
F7525	#edp_dependency_심리학자-@-NNG
F6179	연호-@-NNG
F4089	프리메라리가-@-NNG
F3	#edp_depmorp_함대-@-NNG
F8135	#edp_depmorp_당연하-@-VA
F4	#edp_dependency_down||VP_MOD--down||VP--down||
F7134	#edp_depmorp_계획-@-NNG
F2095	푸나카이키-@-NNG
F6103	#edp_depmorp_장흥면-@-NNG
F2082	#edp_depmorp_이기-@-VV
F5	#edp_arg1_mod_동행하-@-VV
F6	#edp_depmorp_기흥구-@-NNG
F4090	#edp_depmorp_월산리-@-NNG
F1409	#edp_depmorp_속했었-@-VV
F4091	#edp_depmorp_허준호-@-NNG
F4092	#edp_dependency_재회하-@-VV--팀동료-@-NNG--카이저슬라우테른-@-NNG
F7	스미스-@-NNG
F5755	#edp_depmorp_오후나토-@-NNG
F2096	#edp_dependency_스타-@-NNG
F7989	#edp_dependency_up||NP_OBJ--up||VP_MOD--down||VP--down||NP_AJT--down||
F8	성-@-NNG
F39	#edp_depmorp_콩나물-@-NNG
F9	시간-@-NNB
F4093	#edp_depmorp_삼진-@-NNG
F6967	#edp_arg1_mod__-@-NNG
F4123	#edp_depmorp_예명-@-NNG
F4782	#edp_depmorp_유망주-@-NNG
F47	#edp_dependency_모후-@-NNG--왕비-@-NNG--태종-@-NNG--조선-@-NNG
F6138	백조-@-NNG
F1741	#edp_dependency_up||VNP--down||NP_SBJ--down||VP_MOD--down||NP_AJT--down||NP--down||NP--down||
F2097	#edp_dependency_보내-@-VV--성공하-@-VV--치-@-VV--보내-@-VV
F11	#edp_dependency_up||NP_AJT--down||NP_MOD--down||
F4095	#edp_dependency_up||NP--up||NP_MOD--down||
F6243	#edp_depmorp_날리-@-VV
F4096	#edp_depmorp_전진_-@-NNG
F2098	본거지-@-NNG
F2099	#edp_dependency_여객철도-@-NNG--위치하-@-VV--시-@-NNG
F12	#edp_depmorp_본사-@-NNG
F6809	#edp_depmorp_무당벌레-@-NNG
F13	#edp_depmorp_걸리-@-VV
F2100	#edp_dependency_up||X--up||X--up||NP--down||
F6143	#edp_depmorp_아이틴걸즈-@-NNG
F5464	연루되-@-VV
F7424	의병-@-NNG
F7444	#edp_dependency_up||NP_SBJ--up||VP--down||NP_OBJ--down||NP--down||NP_CNJ--down||
F2101	#edp_depmorp_닿-@-VV
F67	#edp_dependency_회장-@-NNG
F4160	개월-@-NNB
F2102	스타-@-NNG
F7225	#edp_depmorp_중재하-@-VV
F14	#edp_dependency_등-@-NNB--포함하-@-VV
F15	#edp_dependency_군-@-NNG--히가시쓰가루-@-NNG--아오모리-@-NNG
F16	모으-@-VV
F6147	#edp_dependency_up||NP--down||X--down||
F5465	요청-@-NNG
F18	#edp_dependency_up||NP--up||NP_OBJ--down||
F4101	#edp_dependency_명-@-NNB
F19	#edp_depmorp_감탄하-@-VV
F20	솔-@-NNG
F1410	#edp_dependency_up||VP--up||VP--up||VP--down||NP_AJT--down||NP--down||
F3499	#edp_dependency_up||NP_AJT--up||VP--down||NP_AJT--down||NP_MOD--down||
F4175	#edp_depmorp_등장하-@-VV
F21	#edp_arg1_mod_업체-@-NNG
F7826	#edp_depmorp_대사-@-NNG
F7136	#edp_dependency_down||NP--down||NP--down||DP--down||NP--down||
F3028	#edp_arg1_mod_태어나-@-VV
F23	주미대사-@-NNG
F2106	#edp_dependency_up||NP_OBJ--down||NP_MOD--down||NP_CNJ--down||NP--down||
F4104	열리-@-VV
F3415	#edp_depmorp_발매하-@-VV
F97	사람들-@-NNG
F2107	선-@-NNG
F3005	#edp_arg1_mod_휴양지-@-NNG
F2108	#edp_depmorp_여산면-@-NNG
F8155	플레이오프-@-NNG
F5805	계획-@-NNG
F103	#edp_dependency_중-@-NNB
F5466	#edp_arg1_mod_주의-@-NNG
F6153	#edp_dependency_브론테-@-NNG--자매-@-NNG--출신-@-NNG
F2109	#edp_depmorp_창당되-@-VV
F2110	#edp_depmorp_네트워크-@-NNG
F6645	#edp_depmorp_갖-@-VV
F2111	설립하-@-VV
F4106	#edp_depmorp_담-@-VV
F4107	#edp_dependency_철도역-@-NNG--있-@-VA--시-@-NNG
F5120	나중-@-NNG
F4214	#edp_dependency_up||NP_MOD--up||NP_AJT--up||VNP--down||
